,s_id,user_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,cluster
95,41,p201,43.0505,37.8556,61.120347240367266,32.756086245845154,1.0447107255120909,1.2947222568791217,880.0,859.0,1,2
96,41,p202,48.7782,40.1929,57.9415388012712,25.665824149547248,1.157193177477296,1.1308191949432171,894.0,867.0,1,0
97,42,p329,56.7425,40.3827,69.52131596704325,33.613083838522265,1.1035641168504893,0.8886881819063983,925.0,902.0,1,0
98,42,p330,56.7281,39.5448,69.37640663374195,34.36793383187529,0.7420330181332903,0.8291160496016271,929.0,906.0,1,2
99,43,p205,47.1471,38.9338,50.52114151220664,20.153591430309728,0.7397172703134625,1.4026840160383574,933.0,904.0,1,0
100,43,p206,45.2708,39.0135,50.590154733407296,20.65850281088305,1.1044201419749642,1.2349048387182753,934.0,908.0,1,1
101,44,p209,43.078,34.2278,37.178086060216046,14.26013605256052,0.5797047869390074,1.4898224955520438,953.0,896.0,1,1
102,44,p210,41.1108,33.9436,37.251878235320255,14.355086089389912,0.26026803491785155,1.3852736418917124,958.0,910.0,1,1
103,45,p301,72.8619,40.7949,62.55448189122268,52.98023320040657,0.4441335047032592,0.9529330488404756,979.0,945.0,1,0
104,46,p301,72.8619,40.7949,62.55448189122268,52.98023320040657,0.4441335047032592,0.9529330488404756,979.0,945.0,1,1
105,47,p239,54.8056,28.6649,37.80478683250495,39.790881762563174,1.600048711758489,1.206261051805554,1005.0,972.0,1,1
106,47,p240,54.6402,29.3018,36.955991701525356,38.53044385671596,1.3382498907154825,1.191721208320791,1006.0,975.0,1,0
107,48,p215,49.7589,40.7404,57.792494463256,25.607740755824903,1.2865708297641447,1.2822313655748132,1016.0,997.0,1,0
108,48,p216,48.5165,40.8072,57.56295714449151,23.831344130935012,1.2432985562607242,1.2336425786793104,1020.0,997.0,1,0
109,49,p247,49.1138,27.607,41.100643879534786,41.37823216803639,0.9473751157804391,1.4054586054929177,1058.0,1034.0,1,2
110,49,p248,49.1312,28.3101,41.805178175947646,42.220464770859344,0.8207751092717177,1.3969119249508213,1058.0,1037.0,1,1
111,49,p251,42.2895,21.3998,45.438599168960884,44.69924732798372,2.1786972185230327,1.67332663518316,1060.0,1037.0,1,0
112,49,p252,42.4151,22.4572,50.810612535481326,44.800283972576,1.6450358202786952,1.7630447427858646,1064.0,1041.0,1,0
113,50,p339,75.4792,54.7293,84.53364850322244,43.23944687059411,1.2220473026851293,1.155277758707242,1063.0,1046.0,1,1
114,51,p314,62.2947,36.9405,55.02109633778215,48.728338706193746,1.5772000760841984,1.3892342304186556,1087.0,1074.0,1,0
115,51,p343,59.4955,44.8041,66.93480568329585,32.327133836267855,0.63967174394372,1.0042370704814318,1103.0,1075.0,1,1
116,52,p261,55.775,35.8488,47.115443725383024,45.66587618471807,1.5685574583036483,1.3942810266937178,1132.0,1120.0,1,1
117,52,p262,56.0682,36.6817,51.54073950225068,43.587965601958096,1.639525766799656,1.6332861526331512,1125.0,1121.0,1,1
118,53,p221,38.7394,34.6058,45.94825297413104,14.49751964749133,1.2341461542297167,1.5477355813850835,1155.0,1130.0,1,0
119,54,p317,66.2186,36.4838,65.14260770428791,54.87736676832019,0.7923043417778297,1.2611688944092907,1186.0,1161.0,1,1
