,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,group_size,group_number,group_id
18,2,175.0,16.66590800478547,53.29064046843807,20.11679101311901,27.55983277439653,2.0,3.0,706,666,3,2,5,3
19,2,176.0,15.762707123942036,53.45583011709933,19.15590996585395,27.714608174588204,2.0,3.0,706,666,3,2,5,3
20,2,178.0,16.424610033612854,57.688898853388615,19.09042156592679,31.506612618657805,2.0,3.0,706,666,3,2,5,4
21,2,179.0,15.749666196206986,57.46548745679487,18.215368154177007,31.313850573600437,2.0,3.0,706,666,3,2,5,4
22,3,216.0,19.156270663654944,25.50793032591771,19.4512966990395,12.665716067336923,2.0,3.0,1562,1542,3,3,1,0
23,3,217.0,19.77531251001855,25.707935039041793,19.81909416793837,12.807665250218255,2.0,3.0,1562,1542,3,3,1,0
24,3,218.0,20.236930911065787,25.403424920436628,20.556152289033175,13.753209987157486,2.0,3.0,1562,1542,3,3,1,0
25,3,101.0,19.389419573146196,12.802936371874095,17.862457387506574,30.37610653059946,2.0,3.0,1562,1542,1,0,0,100
26,4,77.0,18.221953345821284,13.863056411684925,18.454252618785446,47.92860541205512,2.0,3.0,1218,1173,3,2,2,0
27,4,78.0,17.40085797920109,14.375743776340482,17.52554533035601,47.78094443906235,2.0,3.0,1218,1173,3,2,2,0
28,4,75.0,16.617515086589027,17.52397534361345,16.15150211199782,45.39737412228517,2.0,3.0,1218,1173,3,2,2,1
29,4,74.0,17.487679766660058,17.90818873001144,17.3162076453194,45.71100093031822,2.0,3.0,1218,1173,3,2,2,1
30,5,5.0,15.84618757468899,49.383715615290285,14.982003643611721,60.25896431050707,2.0,3.0,322,307,3,5,1,0
31,5,6.0,16.731511075544155,49.561442387695244,15.666979624378886,60.11247877341266,2.0,3.0,322,307,3,5,1,0
32,5,7.0,16.314030427746545,46.6964289369896,15.112025438593394,58.40759576379238,2.0,3.0,324,307,3,5,1,0
33,5,8.0,16.99759940160311,47.334278478420046,15.846090408954543,59.35355238547812,2.0,3.0,324,307,3,5,1,0
34,5,9.0,17.486824386307322,43.36246596589218,15.38825932697612,55.371560843558,2.0,3.0,324,307,3,5,1,0
35,5,158.0,17.08722433495973,60.67389393122581,18.60085273642267,49.77718094187098,2.0,3.0,324,308,1,0,0,100
36,6,10.0,18.975067359413202,18.236186186785172,17.765331899389196,39.276494225256826,2.0,3.0,374,347,3,3,1,0
37,6,11.0,19.612749974788034,18.50987441238598,18.496991991571278,39.650986354780464,2.0,3.0,374,347,3,3,1,0
38,6,12.0,20.181469428881158,18.025584037205505,19.03686795569953,38.911712913669454,2.0,3.0,374,347,3,3,1,0
39,6,159.0,15.54341328277283,58.471246596453284,17.321885391934813,35.25808376246904,2.0,3.0,374,347,1,0,0,100
40,7,169.0,15.934905625522749,42.86151227990072,17.504358545021844,14.216765717795825,2.0,3.0,602,568,3,2,1,0
41,7,170.0,15.253951555824617,42.8845488442203,16.640382913678895,14.284542069708346,2.0,3.0,602,568,3,2,1,0
42,7,168.0,18.697517288768715,40.23752984055988,18.093096194289355,16.556410732731504,2.0,3.0,602,568,1,0,0,100
43,8,60.0,17.621017905496885,39.716904550967556,17.52116133732154,54.87798120968697,2.0,3.0,962,941,3,2,2,0
44,8,61.0,18.323662590695896,39.646907218606366,18.138105965653008,54.904142000003326,2.0,3.0,962,941,3,2,2,0
