,s_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type
60,14,p120,61.90140011,39.97206055,53.25213603212666,56.34151722396976,1.546639221,1.2,448,429,1
61,15,v13,44.13934442,28.46337136,79.56114385347125,50.54485372534685,1.232316362,4,466,445,2
62,15,p63,52.31216527,29.02771971,44.59834995575165,43.33122684087191,1.1800748220000001,1.2,466,445,1
63,16,v13,45.616623700000005,29.38428777,87.19835826492962,53.17425603862918,0.0,4,488,456,2
64,16,p41,51.37715354,34.7109821,58.38584511186315,15.814965406104646,1.75168006,1.2,474,456,1
65,16,p42,49.18808056,33.68360145,50.31894189952637,14.068352698847438,1.255754936,1.2,476,456,1
66,16,p43,51.07572784,37.55293845,56.38513390688791,16.531083698669846,1.532890191,1.2,478,456,1
67,16,p44,49.60759544,38.57844068,58.879008011467356,14.975308483148606,1.2232658220000001,1.2,486,456,1
68,16,p64,54.88218009,28.07759916,49.898046853788735,49.72923540415948,1.6854016280000002,1.2,488,465,1
69,16,p45,48.96466316,38.23199018,58.74597450805303,15.324342059403001,0.790981383,1.2,488,456,1
70,16,v14,39.09816076,24.72146725,78.90422206372112,52.24600723226456,0.0,4,488,456,2
71,17,v14,46.00358054,29.49633059,88.26687583643015,54.85591953665471,1.227171262,4,500,478,2
72,17,p66,53.87600849,30.16373399,51.70239164873134,43.25659117297761,0.6344462329999999,1.2,500,478,1
73,18,v36,70.87355601,48.29502446,29.006601391417064,23.295028490389747,2.626102286,4,486,466,2
74,18,p121,63.54933517,38.91451404,55.46589657529825,56.76630486085993,0.239990428,1.2,486,466,1
75,19,v37,62.46336532,43.12498657,27.208182414454193,19.041447454671644,1.9514246769999999,4,513,498,2
76,19,p66,51.941357200000006,35.42351546,46.246478692487656,50.644538968631245,1.8440669459999999,1.2,513,498,1
77,20,v37,60.23724189,41.60427596,25.346182323078096,18.23019068047033,0.535372008,4,527,503,2
78,20,p67,53.38258202,34.30599519,51.68322826851379,52.196245484754556,0.738337812,1.2,527,503,1
79,20,p68,52.66058425,32.60273581,50.38159283010161,52.674608118270115,1.147793393,1.2,527,503,1
80,20,p46,47.7701134,38.86382884,52.339802520993004,19.19812301208059,0.266836681,1.2,527,503,1
81,20,p47,48.54716512,39.31582527,53.94915237963137,21.226032264961752,0.343593625,1.2,527,503,1
82,20,p48,48.29607454,41.35948873,56.509556167050654,24.664385878354164,0.784165662,1.2,527,504,1
83,21,v38,74.3839042,49.96022944,32.651751746789245,23.93388813248175,3.581530675,4,536,520,2
84,21,p160,61.96082633,45.2195088,64.21923770019554,33.368791788251,0.020897566,1.2,536,520,1
85,22,p122,62.469147899999996,39.91552052,51.6919363886624,52.70293231301201,1.2417453459999999,1.2,544,526,1
86,22,v38,66.59223019,45.10093618,28.671583402670606,20.82469690708694,2.271311452,4,544,526,2
87,23,v38,57.0233751,38.38879914,17.372854094715535,22.325090232183577,0.959634488,4,555,542,2
88,23,p49,48.27051535,34.22233236,49.2789849980472,20.689104211404167,1.096017314,1.2,555,542,1
89,23,p50,47.63442846,34.28469856,48.20303274958397,20.546960029189513,1.2001138709999999,1.2,555,542,1
90,24,v38,53.22564172,36.87891342,6.253301928919363,13.329630817312395,2.60977642,4,562,546,2
91,24,p70,52.23727409,32.89023761,49.25887913135902,47.154872478107244,0.8746780740000001,1.2,562,546,1
92,24,p71,52.8915981,33.32240554,48.494191841254334,47.264410484609016,0.7989807409999999,1.2,562,546,1
93,25,v15,41.25069415,26.241976899999997,78.39681320770055,52.78055026289202,2.433351917,4,562,546,2
94,25,p49,48.5043109,32.18690011,52.8438723033823,17.81087650447541,0.965893718,1.2,562,546,1
95,25,p50,47.83918920000001,32.02067751,52.322945061641384,17.34747816452117,1.0644388,1.2,562,546,1
96,26,p161,72.53708566,51.82229054,68.80529580839217,29.676463069245273,1.3658639030000002,1.2,554,529,1
97,26,p162,67.28626057,49.83158212,63.70682162343207,30.644700330839,1.288330848,1.2,554,530,1
98,26,p163,67.07805677,50.71796591,62.544969113655426,30.80367713725997,1.430604279,1.2,554,529,1
99,26,v39,72.58013854,48.68309022,33.834934244012246,26.637651465543374,2.598679113,4,554,529,2
100,27,v16,42.47161362,27.06641881,89.52081246394079,57.292438126680516,1.060465816,4,584,560,2
101,27,p52,49.58337087,35.21331101,54.898385793020836,14.145380051760537,1.4299545980000001,1.2,583,560,1
102,27,p51,50.34326066,35.67543724,55.93371496653005,13.96234428775982,1.33528163,1.2,584,560,1
103,28,v40,36.65308441,23.41693472,71.50614879182832,46.60433704841885,0.074686567,4,604,584,2
104,28,p53,47.726070799999995,32.04011892,49.56229101344033,14.12999849223606,1.157430142,1.2,604,584,1
105,28,p54,47.04938285,31.55085219,48.8645340843642,14.124825718718938,1.27021111,1.2,604,584,1
106,29,v41,27.84117848,16.34752923,71.6369955907847,49.59750591059475,1.96715267,4,620,600,2
107,29,p226,38.86870704,18.53821403,29.50612909678189,32.35630755095027,1.58954455,1.2,620,602,1
108,29,p225,41.10002409,20.42881249,27.418569186080795,29.985063299910248,0.608824508,1.2,620,600,1
109,30,p228,30.4630587,21.58939281,24.9188086051334,37.24333445577303,1.583753556,1.2,696,680,1
110,30,v68,38.01650874,29.21908143,-1.5521296666744107,5.361588722428852,2.425475474,4,696,680,2
111,31,p177,39.43583602,32.84082306,43.56431974392741,20.415016165101413,0.587560107,1.2,699,682,1
112,31,v69,47.97650039,34.76700315,3.2695710709031403,9.130587439431633,3.697635215,4,699,682,2
113,32,v45,48.11045272,30.93865001,84.94658444999192,52.67548660189172,2.00669268,4,727,714,2
114,32,p183,53.78826209,37.08810864,64.71619936897423,26.71805682922989,2.007402791,1.2,727,714,1
115,32,p184,54.27256145,37.53754865,65.38776967691857,27.55617233195671,2.12982287,1.2,727,714,1
116,33,v49,42.50112225,26.8824458,78.96825782598452,49.01087169981744,1.888423793,4,781,765,2
117,33,p188,46.38111142,33.23332538,54.23706675496032,17.792992700370995,1.459079174,1.2,781,765,1
118,34,p189,51.46818924,34.72181707,60.348535560112374,20.28591493983798,0.972277085,1.2,802,784,1
119,34,p191,52.46472392,35.29485222,60.7563153498194,19.650145370433595,0.897255831,1.2,802,784,1
120,34,p192,52.50563475,37.44896522,65.4860486953298,26.909861687753413,1.560067469,1.2,800,784,1
121,34,v51,46.18812017,29.30995472,82.33362986969317,53.066037340250986,1.7703405669999999,4,802,784,2
122,35,v51,48.65585373,30.93619959,84.52652696409731,51.17388393383011,0.661456837,4,816,789,2
123,35,p193,52.47192692,39.21586389,63.11503398955589,25.196507392795368,0.626163284,1.2,814,789,1
124,35,p194,48.82953678,40.85118725,60.16584687155747,20.85139972197521,1.4481112230000002,1.2,816,792,1
125,36,v73,61.95806063,42.74649439,25.388878309618278,23.13649428437984,1.208706496,4,804,784,2
126,36,p193,52.15696282,40.84994629,57.05766000018205,26.728146976140053,0.675127237,1.2,804,784,1
127,37,v74,59.38020096,41.35120139,7.026682822193223,10.990852056516882,1.593264129,4,837,811,2
128,37,p197,51.265211,39.14374478,59.82038346090742,18.035083197850863,0.455157483,1.2,837,811,1
129,38,v75,69.76842490000001,47.29509655,36.661722775412194,24.64376226110236,0.003138625,4,825,798,2
130,38,p292,67.77888101,42.73619133,66.33845893948089,61.86431180007663,1.2364916259999998,1.2,819,798,1
131,38,p325,65.23900797,47.65797307,77.34651101575503,36.956225634558784,0.535125136,1.2,825,798,1
132,38,v74,65.26255502,44.79252974,23.462583476001015,20.351892169755555,0.0,4,825,798,2
133,39,v74,61.75176685,42.70810728,23.199235961387295,20.48884135343884,2.067933956,4,826,808,2
134,39,p197,50.72787806,39.79009198,59.05460136380515,27.290099169551368,0.8507483809999999,1.2,826,808,1
135,40,v77,60.83574253,41.69752481,21.130732556304913,19.06412091316524,2.647533181,4,858,836,2
136,40,p233,55.80444065,35.65784346,45.1752211321243,50.73420255354571,0.799910881,1.2,857,836,1
137,40,p199,49.72748058,40.22935743,54.122936891764915,23.851167557063324,0.16480748,1.2,858,836,1
138,41,v52,46.99787728,30.27956954,90.51084050345281,56.13563739191734,2.835326911,4,896,866,2
139,41,p200,51.17455154,36.52168816,60.95810469408418,18.462123507783613,1.1140085229999999,1.2,890,866,1
140,41,p201,46.4538597,37.1255864,67.7843813094567,30.6071389077367,1.0886857140000001,1.2,890,866,1
141,41,p202,48.52212973,40.72123575,58.05974650419027,23.94599374108321,1.173045628,1.2,896,866,1
142,42,v301,50.46899682,32.37179336,90.35190740460777,56.87199731502031,3.279959981,4,932,910,2
143,42,p329,59.78910152,38.4654853,74.9613899855471,30.895434309828868,0.797754592,1.2,932,910,1
144,42,p330,58.2311906,38.91240484,73.4420268558259,31.786568493350096,0.862974362,1.2,932,910,1
145,43,p205,46.33313615,32.93215576,54.80935504738955,17.67693086673162,1.26895126,1.2,939,922,1
